Trace started at 2026-09-03:19:09:56.130
19:09:59.781 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:09:59.858 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:09:59.861 Read COM16: FE-FE-88-00-25 (....%)
19:09:59.877 Read COM16: 00-FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (......%...'...)
19:09:59.877 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:09:59.893 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01 (....&......&....)
19:09:59.893 Read COM16: FD (.)
19:09:59.991 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:00.005 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00 (....%......%.)
19:10:00.005 Read COM16: 00-96-04-07-00-FD (......)
19:10:00.005 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:00.021 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26 (....&......&)
19:10:00.021 Read COM16: 00-00-00-01-FD (.....)
19:10:00.124 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:00.133 Read COM16: FE-FE-88-00-0F-FD-FE-FE-00-88 (..........)
19:10:00.148 Read COM16: 0F-00-FD (...)
19:10:00.149 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:00.165 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:00.165 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:00.181 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00 (....!......!....)
19:10:00.181 Read COM16: FD (.)
19:10:00.258 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:00.261 Read COM16: FE-FE-88-00 (....)
19:10:00.277 Read COM16: 25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (%......%...'...)
19:10:00.277 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:00.293 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:00.391 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:00.405 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96-04-07-00-FD (....%......%.......)
19:10:00.405 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:00.421 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00 (....&......&.)
19:10:00.421 Read COM16: 00-00-01-FD (....)
19:10:00.525 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:00.533 Read COM16: FE-FE-88-00-0F-FD-FE (.......)
19:10:00.549 Read COM16: FE-00-88-0F-00-FD (......)
19:10:00.549 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:00.565 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:00.565 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:00.581 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:00.658 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:00.660 Read COM16: FE-FE (..)
19:10:00.676 Read COM16: 88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (..%......%...'...)
19:10:00.677 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:00.693 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:00.792 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:00.805 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00-96 (....%......%...)
19:10:00.821 Read COM16: 04-07-00-FD (....)
19:10:00.821 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:00.837 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:00.926 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:00.933 Read COM16: FE-FE-88-00-0F-FD (......)
19:10:00.949 Read COM16: FE-FE-00-88-0F-00-FD (.......)
19:10:00.949 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:00.965 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:00.965 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:00.981 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:01.059 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:01.077 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (....%......%...'...)
19:10:01.077 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:01.093 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:01.193 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:01.204 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00-00 (....%......%..)
19:10:01.220 Read COM16: 96-04-07-00-FD (.....)
19:10:01.220 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:01.236 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:01.326 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:01.332 Read COM16: FE-FE-88-00-0F-FD (......)
19:10:01.349 Read COM16: FE-FE-00-88-0F-00-FD (.......)
19:10:01.349 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:01.364 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:01.364 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:01.381 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:01.459 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:01.476 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (....%......%...'...)
19:10:01.476 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:01.492 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:01.593 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:01.605 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25-00 (....%......%.)
19:10:01.621 Read COM16: 00-96-04-07-00-FD (......)
19:10:01.621 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:01.636 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:01.727 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:01.732 Read COM16: FE-FE-88-00-0F-FD (......)
19:10:01.749 Read COM16: FE-FE-00-88-0F-00-FD (.......)
19:10:01.749 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:01.764 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:01.764 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:01.780 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:01.860 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:01.876 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14-00-FD (....%......%...'...)
19:10:01.876 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:01.893 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:01.993 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:02.004 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88-25 (....%......%)
19:10:02.020 Read COM16: 00-00-96-04-07-00-FD (.......)
19:10:02.020 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:02.036 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:02.127 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:02.132 Read COM16: FE-FE-88-00-0F-FD (......)
19:10:02.148 Read COM16: FE-FE-00-88-0F-00-FD (.......)
19:10:02.148 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:02.164 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:02.164 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:02.179 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:02.260 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:02.276 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00 (....%......%...)
19:10:02.276 Read COM16: 27-14-00-FD ('...)
19:10:02.276 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:02.292 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26 (....&......&)
19:10:02.292 Read COM16: 00-01-00-01-FD (.....)
19:10:02.394 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:02.404 Read COM16: FE-FE-88-00-25-01-FD-FE-FE-00-88 (....%......)
19:10:02.419 Read COM16: 25-00-00-96-04-07-00-FD (%.......)
19:10:02.419 Write COM16: FE-FE-88-00-26-01-FD (....&..)
19:10:02.435 Read COM16: FE-FE-88-00-26-01-FD-FE-FE-00-88-26-00-00-00-01-FD (....&......&.....)
19:10:02.528 Write COM16: FE-FE-88-00-0F-FD (......)
19:10:02.532 Read COM16: FE-FE-88-00-0F-FD (......)
19:10:02.547 Read COM16: FE-FE-00-88-0F-00-FD (.......)
19:10:02.548 Write COM16: FE-FE-88-00-21-01-FD (....!..)
19:10:02.563 Read COM16: FE-FE-88-00-21-01-FD-FE-FE-00-88-21-01-00-FD (....!......!...)
19:10:02.563 Write COM16: FE-FE-88-00-21-00-FD (....!..)
19:10:02.580 Read COM16: FE-FE-88-00-21-00-FD-FE-FE-00-88-21-00-00-00-00-FD (....!......!.....)
19:10:02.661 Write COM16: FE-FE-88-00-25-00-FD (....%..)
19:10:02.675 Read COM16: FE-FE-88-00-25-00-FD-FE-FE-00-88-25-00-10-00-27-14 (....%......%...'.)
19:10:02.675 Read COM16: 00-FD (..)
19:10:02.675 Write COM16: FE-FE-88-00-26-00-FD (....&..)
19:10:02.692 Read COM16: FE-FE-88-00-26-00-FD-FE-FE-00-88-26-00-01-00-01-FD (....&......&.....)
19:10:02.795 Write COM16: FE-FE-88-00-25-01-FD (....%..)
19:10:02.804 Read COM16: FE-FE-88-00-25-01-FD-FE (....%...)
19:10:02.820 Read COM16: FE-00-88-25-00-00-96-04-07-00-FD (...%.......)
19:10:02.820 Write COM16: FE-FE-88-00-26-01-FD (....&..)
